Research Paper Proposal (291468),Research Paper Outline and Introduction (291483),Short Answer Take-Home #1 (291497),Q1,Q2,Q3,Q4,Q5,Q6,Short Answer Take-Home #2 (291501),Final Research Paper (291619),Week 2 Quiz (292836),Week 4 Quiz (295116),Quiz - Week 7 (296852),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
0,,38,10,,10,9,9,,,,25,24,,87,87,100,97.75,18.92,33.59,87,87,100,97.75,18.92,33.59
0,,32.5,7.5,,9,8,8,,,,15.2,24,,71.7,71.7,80,80.56,15.14,27.68,71.7,71.7,80,80.56,15.14,27.68
0,,32.5,7.5,,9,8,8,,,,25,22,,79.5,79.5,95.92,89.33,18.15,30.69,79.5,79.5,95.92,89.33,18.15,30.69
0,,35,,,8,8,9.5,9.5,,,22,20,,77,77,85.71,86.52,16.22,29.73,77,77,85.71,86.52,16.22,29.73
0,,34.5,8,,9.5,8,9,,,,23,22,,79.5,79.5,91.84,89.33,17.37,30.69,79.5,79.5,91.84,89.33,17.37,30.69
0,,23,3.5,,5,7,7.5,,,,19.5,20,,62.5,62.5,80.61,70.22,15.25,24.13,62.5,62.5,80.61,70.22,15.25,24.13
0,,30,,,9,6.5,8,6.5,,,19,19,,68,68,77.55,76.4,14.67,26.25,68,68,77.55,76.4,14.67,26.25
0,,36,,9,9,8,,10,,,24.47,23,,83.47,83.47,96.88,93.79,18.33,32.23,83.47,83.47,96.88,93.79,18.33,32.23
0,,23.5,6,,6.5,,6.5,6.5,,,22.5,18,,64,64,82.65,71.91,15.64,24.71,64,64,82.65,71.91,15.64,24.71
0,,38,9,,10,,9,10,,,20.47,24,,82.47,82.47,90.76,92.66,17.17,31.84,82.47,82.47,90.76,92.66,17.17,31.84
0,,37.5,9,,10,9,9.5,,,,21.17,21,,79.67,79.67,86.06,89.52,16.28,30.76,79.67,79.67,86.06,89.52,16.28,30.76
0,,37.5,10,,8.5,9,10,,,,23.8,24,,85.3,85.3,97.55,95.84,18.46,32.93,85.3,85.3,97.55,95.84,18.46,32.93
0,,,,,,,,,,,19.5,22,,41.5,41.5,84.69,84.69,16.02,16.02,41.5,41.5,84.69,84.69,16.02,16.02
0,,40,10,,10,10,10,,,,23.67,22,,85.67,85.67,93.2,96.26,17.63,33.08,85.67,85.67,93.2,96.26,17.63,33.08
0,,32,,9,8.5,6,8.5,,,,18.97,22,,72.97,72.97,83.61,81.99,15.82,28.17,72.97,72.97,83.61,81.99,15.82,28.17
0,,23.75,9,,7.5,5,2,,,,17.5,22,,63.25,63.25,80.61,71.07,15.25,24.42,63.25,63.25,80.61,71.07,15.25,24.42
0,,40,10,,10,10,10,,,,24,24,,88,88,97.96,98.88,18.53,33.98,88,88,97.96,98.88,18.53,33.98
,,,,,,,,,,,,,,0,0,,,0,0,0,0,,,0,0
